step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad),direction
120,training,0.0011324951192364097,0.056570034474134445,0.04275505162748168,4.5254232981587945,0.6321072079091659,-0.051931443548869374,dl
121,training,0.0039751483127474785,0.05075738206505777,0.04275505162748168,4.56543498374933,0.6302434934156892,-0.040575640483263765,dl
122,training,0.0009842521976679564,0.10272620618343352,0.04275505162748168,4.605244396471997,0.6288372455252523,-0.030867937537553024,dl
123,training,0.001080941641703248,0.10510771907866,0.04275505162748168,4.645144795821292,0.6277425649941465,-0.027342317384923154,dl
124,training,0.001998733961954713,0.06301804818212986,0.04275505162748168,4.685310522562893,0.6265670014523131,-0.031106424591327255,dl
125,training,0.0011995589593425393,0.06016606092453003,0.04275505162748168,4.725029354341726,0.625347010311928,-0.02880960843622468,dl
126,training,0.0009609103435650468,0.08706787414848804,0.052130053040955956,4.765053573816014,0.6243041415364422,-0.02256908346333955,dl
127,training,0.0004976959899067879,0.08637904748320581,0.052130053040955956,4.805027536903784,0.6235235896383051,-0.017229636999906435,dl
128,training,0.0005180080188438296,0.02104245871305467,0.052130053040955956,4.8449135099399445,0.6228736583593187,-0.015753656852021573,dl
129,training,0.0007382318144664168,0.007990419864654541,0.052130053040955956,4.8850312139955605,0.6223277542702451,-0.008280382029273895,dl
130,training,0.0019113845191895962,0.019089825451374054,0.052130053040955956,4.924790261178805,0.6222410045247658,0.004924596009375686,dl
131,training,0.00040182724478654563,0.015963777899742126,0.052130053040955956,4.964706450244047,0.6227177434258186,0.01858579089992668,dl
132,training,0.001996819395571947,0.013520237058401115,0.05927186908366643,5.004699463758307,0.6236914854846876,0.029797328977602858,dl
133,training,0.001955141080543399,0.05743891373276711,0.05927186908366643,5.044459874068523,0.6250832574918099,0.03902876861415667,dl
134,training,0.0007696631364524364,0.058245319873094566,0.05927186908366643,5.08452545776849,0.6267558170123501,0.04216456580932423,dl
135,training,0.0005660946480929852,0.031839536502957344,0.05927186908366643,5.124406044279914,0.6283917416291979,0.03954677551311586,dl
136,training,0.0008588993805460632,0.029374632984399796,0.05927186908366643,5.164327930303398,0.629959586060205,0.03979270316540789,dl
137,training,0.0005377818597480655,0.033871814608573914,0.05927186908366643,5.204403913145261,0.631602148285786,0.042671216143090995,dl
138,training,0.00110587605740875,0.026308314874768257,0.05081090280181583,5.244138912459584,0.6333792452421615,0.04562360823102139,dl
139,training,0.0004545057308860123,0.013509422540664673,0.05081090280181583,5.284155176504092,0.6352421300902671,0.047382526862385546,dl
140,training,0.0006860847352072597,0.01250407658517361,0.05081090280181583,5.323945931190592,0.6372349136241443,0.054155650840030045,dl
141,training,0.0019397507421672344,0.016991190612316135,0.05081090280181583,5.363716392474619,0.6395710185043871,0.06271259199715733,dl
142,training,0.0009571153204888105,0.02529978845268488,0.05081090280181583,5.403704230514454,0.6422249103843203,0.06960171103284828,dl
143,training,0.0006790062179788947,0.016986092552542686,0.05081090280181583,5.4433791032682555,0.6451300100647015,0.07679014181981714,dl
144,training,0.0019204821437597275,0.036832330748438835,0.04092276655941398,5.483224819905764,0.6483266987682698,0.08237674724273701,dl
145,training,0.0004636845551431179,0.0008203350007534027,0.04092276655941398,5.5231614837319665,0.6516347620578552,0.08182454159615937,dl
146,training,0.002191574312746525,0.028710395097732544,0.04092276655941398,5.562831680832577,0.654924983104158,0.0852365801452195,dl
147,training,0.004043274559080601,0.004918309859931469,0.04092276655941398,5.602707004417061,0.6585009700057004,0.0942279281761461,dl
148,training,0.000662237755022943,0.047971902415156364,0.04092276655941398,5.642358542754925,0.6623699237883843,0.09875992526861327,dl
149,training,0.002237004693597555,0.07274885289371014,0.04092276655941398,5.6820755992644125,0.6664113063188817,0.10489407119541153,dl
150,training,0.0006212890148162842,0.020211463794112206,0.028597382748256704,5.721828519347331,0.6707672535378298,0.11363360292979321,dl
151,training,0.0010337461717426777,0.03561721369624138,0.028597382748256704,5.761182887366562,0.6753499458857342,0.1153113161119524,dl
152,training,0.003197925630956888,0.06606461107730865,0.028597382748256704,5.800987762669508,0.6799102324469385,0.11274979171437997,dl
153,training,0.0015502454480156302,0.009561467915773406,0.028597382748256704,5.860468990442971,0.6866256860486359,0.11394049256360606,dl
154,training,0.003197519574314356,0.003264762461185469,0.028597382748256704,5.880347598062945,0.6888703738920045,0.11000779327424998,dl
155,training,0.0009016802068799734,0.017612311989068985,0.028597382748256704,5.920307403617379,0.693039305693405,0.09653839902897368,dl
156,training,0.0014884364791214466,0.021550890058279037,0.00925084450057311,5.960020866882627,0.696663793797043,0.08707623592194648,dl
157,training,0.0016965345712378621,0.029828406870365143,0.00925084450057311,6.000002044722564,0.6999328545888026,0.07483615227809165,dl
158,training,0.0013310438953340054,0.06280004791915417,0.00925084450057311,6.03999356182021,0.7027405913247866,0.06645138239467407,dl
159,training,0.0012755856150761247,0.07749705016613007,0.00925084450057311,6.079723971801335,0.7053867651764365,0.06749114446532055,dl
160,training,0.0004311421071179211,0.07584446482360363,0.00925084450057311,6.119706553205426,0.7081870797774226,0.07319491126857536,dl
161,training,0.000587262911722064,0.07363209873437881,0.00925084450057311,6.159442072914035,0.7112033773972193,0.07793501746099839,dl
162,training,0.0015692970482632518,0.07444829307496546,0.01656885807970493,6.1992645984413315,0.7143954938741515,0.08139529949412667,dl
163,training,0.00018378003733232617,0.06107364036142826,0.01656885807970493,6.23919550495031,0.7176892904332862,0.08265283937530314,dl
164,training,0.0006525571225211024,0.08036869764328003,0.01656885807970493,6.278843962263206,0.7209998438407732,0.08314287165009278,dl
165,training,0.0005095175583846867,0.09842200577259062,0.01656885807970493,6.318780291436936,0.7243274627647049,0.08311069229208695,dl
166,training,0.0011251551331952214,0.10559696331620218,0.01656885807970493,6.358549969124216,0.727647845152535,0.08475700197372202,dl
167,training,0.00020113878417760134,0.11357989162206648,0.01656885807970493,6.398274986956576,0.7311388446537661,0.09040035577549697,dl
168,training,0.001420488115400076,0.13739509880542755,0.028071528123895205,6.438144947273651,0.7348680896402319,0.09630334792420549,dl
169,training,0.0006457640556618571,0.11836353875696659,0.028071528123895205,6.477735121568481,0.7388459289593318,0.1042419497949936,dl
170,training,0.0010784156620502472,0.14529677666723728,0.028071528123895205,6.517484658593505,0.7431454904524667,0.11012575809326494,dl
171,training,0.0004098525969311595,0.14959294348955154,0.028071528123895205,6.557262194862384,0.7475534215143754,0.1087254057500796,dl
172,training,0.0006143665523268282,0.0941877756267786,0.028071528123895205,6.596900277653588,0.7518346016341159,0.10548681240935065,dl
173,training,0.001365038799121976,0.13459390215575695,0.028071528123895205,6.636808799492903,0.7559722211669659,0.10057695666054077,dl
174,training,0.0006892643868923187,0.1471313964575529,0.059035910106304296,6.676521812566008,0.7598619853290582,0.09503357592324735,dl
175,training,0.0006375283701345325,0.1456342712044716,0.059035910106304296,6.716362544932125,0.7635726205696397,0.09064983317471828,dl
176,training,0.003274559509009123,0.16073366440832615,0.059035910106304296,6.756305153485314,0.7671222139753696,0.08634450988725455,dl
177,training,0.003130048280581832,0.15275206975638866,0.059035910106304296,6.79599800089286,0.7705184347680525,0.08423314968180404,dl
178,training,0.0020896578207612038,0.14456713385879993,0.059035910106304296,6.835958136089039,0.7738536089327549,0.08212124811402535,dl
179,training,0.0005215784767642617,0.14787375368177894,0.059035910106304296,6.875757699928455,0.7770514010252251,0.07808480665994384,dl
180,training,0.0008310005068778992,0.1373507473617792,0.07126538935095422,6.915597857246727,0.7801054202502703,0.07475194360799138,dl
181,training,0.0007517066551372409,0.1631094254553318,0.07126538935095422,6.955631839319997,0.7830350761461611,0.07085438540949365,dl
182,training,0.0020460779778659344,0.1621001120656729,0.07126538935095422,6.995382237732334,0.785807525118894,0.06864764141790627,dl
183,training,0.0006616297760047019,0.16023035906255245,0.07126538935095422,7.035352974889916,0.7885240864461789,0.06671967796153824,dl
184,training,0.0010911922436207533,0.1578178033232689,0.07126538935095422,7.075302114568906,0.7911200121810097,0.06276881071788475,dl
185,training,0.004356811288744211,0.1498921513557434,0.07126538935095422,7.115119611494262,0.7935604843234689,0.059344678844060764,dl
186,training,0.0007070840802043676,0.14060657657682896,0.083913827694145,7.1552185370106365,0.7958679026064325,0.05513489529125302,dl
187,training,0.0005007046274840832,0.15947749838232994,0.083913827694145,7.195032193116878,0.7979741264562894,0.050565241617981885,dl
188,training,0.00045506449532695115,0.15570348501205444,0.083913827694145,7.235006221627429,0.7999226906097041,0.04672697876634458,dl
189,training,0.0018585242796689272,0.16208499297499654,0.083913827694145,7.275094336763378,0.8017164169646046,0.04250650128152918,dl
190,training,0.0007172023179009557,0.16377023421227932,0.083913827694145,7.3148928148392915,0.8033570049737712,0.03963185444662721,dl
191,training,0.0035372129641473293,0.15538411214947695,0.083913827694145,7.35498878407341,0.8049017932795945,0.0375406095651153,dl
192,training,0.0016787496861070395,0.16344130225479603,0.11098078663637227,7.394905466844638,0.8063547181757716,0.03500699814699333,nav
193,training,0.0078117153607308865,0.14623215794563293,0.11098078663637227,7.434816994290771,0.8073009655287335,0.006456998835531775,nav
194,training,0.004335685633122921,0.12289186008274552,0.11098078663637227,7.475235550239903,0.8068905461230133,-0.025962699757114793,nav
195,training,0.004901322070509195,0.12693635001778603,0.11098078663637227,7.515234925066765,0.8052823504749999,-0.05403913663033648,nav
196,training,0.0003483238979242742,0.1387089043855667,0.11098078663637227,7.555404880087193,0.8025890058310692,-0.07822560324969628,nav
197,training,0.0012809461914002895,0.1260804645717144,0.1139648693115491,7.595362491449848,0.7991078644286956,-0.09494258684585537,nav
198,training,0.0027182085905224085,0.09720025584101677,0.1139648693115491,7.635086505760865,0.7950088517975266,-0.10853323462129981,nav
